Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,4.60613173636493E-05,-5.48293926705412E-06,-0.0455994153912339,0,0,0,3.07925886782748,0.0182612787332782,4.38402725811977E-09,7.40473162008238E-07,0.0388954755485699,2.46848881765906E-07,0.0521757181959699,0,0,0,0,0,0,package://final/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://final/meshes/base_link.STL,,body-1,Coordinate base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
back_right,-1.67630940679508E-05,0.0187510063255215,-7.16149980251046E-06,0,0,0,0.144485937463161,4.00827800129865E-05,4.46642384261894E-11,-2.70611065491029E-10,6.17257618808325E-05,8.90635847424176E-09,4.0070713306064E-05,0,0,0,0,0,0,package://final/meshes/back_right.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://final/meshes/back_right.STL,,WATTOS MW SOL-3,Coordinate back right,Axis back right,Backright,continuous,-0.14986476224812,-0.119750309596582,-0.0500082781805382,0,0,0,base_link,0,1,0,50,25,,,,,0.1,1,,,,
back_left,-3.39557239761867E-05,-0.0188726902692292,-8.36398948255157E-05,0,0,0,0.145187835560938,4.00896149033657E-05,2.55957160672069E-10,8.70435351802457E-09,6.17369826623331E-05,-3.89988473797599E-11,4.0102762059215E-05,0,0,0,0,0,0,package://final/meshes/back_left.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://final/meshes/back_left.STL,,WATTOS MW SAĞ-4,Coordinate back left,Axis back left,Backleft,continuous,-0.149911509223914,0.120249690403418,-0.0499105515525619,0,0,0,base_link,0,-1,0,50,25,,,,,0.1,1,,,,
front_left,-6.80328921531421E-05,-0.0167510064700166,8.07998104851437E-06,0,0,0,0.144485936513102,4.00815064397821E-05,-3.04651677116548E-09,-3.71818198356295E-09,6.17257625535643E-05,-8.36894560707643E-09,4.00719869637442E-05,0,0,0,0,0,0,package://final/meshes/front_left.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://final/meshes/front_left.STL,,WATTOS MW SOL-4,Coordinate front left,Axis front left,Frontleft,continuous,0.150048677021618,0.118249690403418,-0.0499983612731708,0,0,0,base_link,0,-1,0,50,25,,,,,0.1,1,,,,
front_right,-4.01276467762099E-06,0.0188726903120324,9.0180349112845E-05,0,0,0,0.145187835558896,4.00855976097913E-05,-2.54242827598535E-10,-2.60989001776178E-09,6.17369826510031E-05,4.8932975675359E-11,4.01067793273605E-05,0,0,0,0,0,0,package://final/meshes/front_right.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://final/meshes/front_right.STL,,WATTOS MW SAĞ-3,Coordinate front right,Axis front right,Frontright,continuous,0.15005643750699,-0.119750309596582,-0.050096622662408,0,0,0,base_link,0,1,0,50,25,,,,,0.1,1,,,,
fix_arm,5.16407718889056E-05,0.000249690403418157,0.0272580512075361,0,0,0,0.439295546431636,0.00124081698488693,4.90491967605696E-08,3.29766832418635E-19,0.00124982311483853,2.3715938386396E-19,0.00101616739612817,0,0,0,0,0,0,package://final/meshes/fix_arm.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://final/meshes/fix_arm.STL,,join1-1,Coordinate base,Axis_Fixarm,Fixarm,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
joint_1,0.000304670881587754,0.0559437297110564,0.129999996094583,0,0,0,0.0848039939096306,0.000142384120242274,-7.3199738064874E-07,-5.98501563417493E-13,7.97751875557315E-06,1.85113127209417E-11,0.000142569533457675,0,0,0,0,0,0,package://final/meshes/joint_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://final/meshes/joint_1.STL,,joint2-2,Coordinate System1,P_tinhtien1,Joint1,prismatic,5.16407718889056E-05,0.000249690403418268,0.02,0,0,0,fix_arm,0,0,1,0,0,-0.11,0,,,0.1,10,,,,
joint2,0.0387153387889752,0.0154767804769137,-3.78737557859832E-05,0,0,0,0.0535021473177969,9.01147443106383E-06,-9.88211726822178E-06,1.54054117281876E-20,2.97812418465219E-05,6.41892155341149E-21,3.35652509632372E-05,0,0,0,0,0,0,package://final/meshes/joint2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://final/meshes/joint2.STL,,chot-1;endeffector-1,Coordinate trucxoay,R_xxoay2,Joint2,revolute,0.00072256707584864,0.132677524374381,0.130000000000001,-1.57079632679489,0.666899498761747,1.56535034085449,joint_1,0,0,1,0,0,0,2.0933,,,,,,,,
end_effector,0.00133295803156219,0.00136909483014924,-0.000418545179635688,0,0,0,0.0515155952474648,1.56449483279695E-05,1.08955306970201E-06,2.23401870692048E-07,1.04579327240331E-05,3.65061446789954E-06,1.37527997339835E-05,0,0,0,0,0,0,package://final/meshes/end_effector.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://final/meshes/end_effector.STL,,3 Finger Gripper Final Assembly-2,Coordinate EE,Axis_EE,EE,fixed,0.126708892956664,0.050652944727702,0,0,-1.56535034085447,2.47469315482736,joint2,0,0,0,,,,,,,0.1,10,,,,
lidar,0.000649834734422927,-0.000432499745949111,0.0114242539296638,0,0,0,0.0120321695084395,2.21429956225363E-06,-3.38754138037177E-08,-4.84627957222887E-09,2.13896956961368E-06,-4.18985401957555E-09,3.87805432538668E-06,0,0,0,0,0,0,package://final/meshes/lidar.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://final/meshes/lidar.STL,,LD19_v2.step-1,Coordinate lidar,Axis lidar,Lidar,fixed,0.174303696818418,0.000603620603913058,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
imu,2.77555756156289E-17,0,-0.00148613416775453,0,0,0,0.00181256637061436,6.14135305642494E-08,-3.47123277975075E-23,-3.39167614982162E-25,1.36413530564249E-07,3.46710163602183E-25,1.95025132741229E-07,0,0,0,0,0,0,package://final/meshes/imu.STL,1,0.0313725490196078,0.0313725490196078,1,0,0,0,0,0,0,package://final/meshes/imu.STL,,imu-1,Coordinate imu,Axis imu,IMU,fixed,5.16407718888501E-05,-0.00020835506176925,-0.08,0,0,0,base_link,0,0,0,,,,,,,,,,,,
